S.no.,IPL Team,Player_name,Birthplace,Census_info,population,class,Census_url,State,Birth_year,Major contribution (ORIG),Major_contribution,Number_of_ODIs_played,Player_url,Latitude (ORIG),Longitude (ORIG),Latitude,Longitude,Player_image
74,Sunrisers Hyderabad,Wriddhiman Prasanta Saha,Shaktigarh,"Shaktigarh (NP) [UTT, Population: 4776, Class - VI] ","4,776",Class - VI,https://censusindia.gov.in/towns/utt_towns.pdf,Uttaranchal,"October 24, 1984",,,,https://www.espncricinfo.com/india/content/player/279810.html,,,,,
75,Sunrisers Hyderabad,Bavanaka Parameswar Sandeep,"Hyderabad, Andhra Pradesh","Hyderabad UA (Distts 04,05 & 06) [ AP, Population: 5742036, Class - I ] ","5,742,036",Class - I,https://censusindia.gov.in/towns/ap_towns.pdf,Andhra Pradesh,"April 25, 1992",,,,https://www.espncricinfo.com/india/content/player/427484.html,,,,,
76,Sunrisers Hyderabad,Sandeep Sharma,"Patiala, Punjab","Patiala UA [PB, Population: 323884, Class - I] ","323,884",Class - I,https://censusindia.gov.in/towns/pb_towns.pdf,Punjab,"May 18, 1993",,,,https://www.espncricinfo.com/india/content/player/438362.html,,,,,
77,Sunrisers Hyderabad,Ramsingh Sanjay Yadav,"Gorakhpur, Uttar Pradesh","Gorakhpur (M Corp.) [UP, Population: 622701, Class - I] ","622,701",Class - I,https://censusindia.gov.in/towns/up_towns.pdf,Uttar Pradesh,"May 10, 1995",,,,https://www.espncricinfo.com/india/content/player/1048841.html,,,,,
78,Sunrisers Hyderabad,Vijay Shankar,"Tirunelveli, Tamil Nadu","Tirunelveli UA [ TN, Population: 433352, Class - I ] ","433,352",Class - I,https://censusindia.gov.in/towns/tn_towns.pdf,Tamil nadu,"January 26, 1991",,,,https://www.espncricinfo.com/india/content/player/477021.html,,,,,
79,Sunrisers Hyderabad,Virat Binod Singh,"East Singhbhum, Bihar","Bihar (M) [BIH, Population: 232071, Class - I] ","232,071",Class - I,https://censusindia.gov.in/towns/bih_towns.pdf,Bihar,"December 8, 1997",,,,https://www.espncricinfo.com/india/content/player/720465.html,,,,,
80,Rajasthan Royals Squad,Varun Raymond Aaron,"Singhbhum, Bihar (now Jharkhand)","Bihar (M) [BIH, Population: 232071, Class - I] ","232,071",Class - I,https://censusindia.gov.in/towns/jha_towns.pdf,Jharkhand,"October 29, 1989",,,,https://www.espncricinfo.com/india/content/player/360911.html,,,,,
81,Rajasthan Royals Squad,Akash Maharaj Singh,"Bhartpur, Rajasthan","Bharatpur UA [RAJ, Population: 205235, Class - I] ","205,235",Class - I,https://censusindia.gov.in/towns/raj_towns.pdf,Rajasthan,"April 26, 2002",,,,https://www.espncricinfo.com/india/content/player/1175458.html,,,,,
82,Rajasthan Royals Squad,Anuj Rawat,"Ram Nagar, Uttarakhand","Ramnagar (MB) [UTT, Population: 46205, Class - III] 
","46,205",Class - III,https://censusindia.gov.in/towns/utt_towns.pdf,Uttaranchal,"October 17, 1999",,,,https://www.espncricinfo.com/india/content/player/1123073.html,,,,,
83,Rajasthan Royals Squad,Shreyas Gopal,"Banglaore, Karnataka","Bangalore UA [ KRN, Population: 5701446, Class - I ] ","5,701,446",Class - I,https://censusindia.gov.in/towns/krn_towns.pdf,Karnataka,"September 4, 1993",,,,https://www.espncricinfo.com/india/content/player/344580.html,,,,,
84,Rajasthan Royals Squad,Yashasvi Bhupendra Kumar Jaiswal,"Suriya, Uttar Pradesh","Suriyawan (NP) [UP, Population: 17423, Class - IV] ","17,423",Class - IV,https://censusindia.gov.in/towns/up_towns.pdf,Uttar Pradesh,"December 28, 2001",,,,https://www.espncricinfo.com/india/content/player/1151278.html,,,,,
85,Rajasthan Royals Squad,Aniruddha Ashok Joshi,"Bangalore, Karnataka","Bangalore UA [ KRN, Population: 5701446, Class - I ] ","5,701,446",Class - I,https://censusindia.gov.in/towns/krn_towns.pdf,Karnataka,"November 7, 1987",,,,https://www.espncricinfo.com/india/content/player/420644.html,,,,,
86,Rajasthan Royals Squad,Kartik Tyagi,"Hapur, Uttar Pradesh","Hapur (MB) [UP, Population: 211983, Class - I] ","211,983",Class - I,https://censusindia.gov.in/towns/up_towns.pdf,Uttar Pradesh,"November 8, 2000",,,,https://www.espncricinfo.com/india/content/player/1122918.html,,,,,
87,Rajasthan Royals Squad,Mahipal Krishan Lomror,"Nagaur, Rajasthan","Nagaur UA [RAJ, Population: 93915, Class - II] ","93,915",Class - II,https://censusindia.gov.in/towns/raj_towns.pdf,Rajasthan,"November 16, 1999",,,,https://www.espncricinfo.com/india/content/player/853265.html,,,,,
